tok_norm	n	example_turno_pk	example_text
ok estar├¡amos contando entonces con su pago o se le est├í complicando	1	49477	Ok. ┬┐Estar├¡amos contando entonces con su pago o se le est├í complicando?
en todo caso tendr├¡amos que verlo para la pr├│xima semana pues ya que me est├í dando esa iniciativa a ver si es que para la pr├│xima semana concretamos para hacer el pago	1	41218	En todo caso, tendr├¡amos que verlo para la pr├│xima semana, pues, ya que me est├í dando esa iniciativa a ver si es que para la pr├│xima semana concretamos para hac
le estoy diciendo que estoy convaleciente de s├¡ ingresado de la escuela del del hospital	1	42975	Le estoy diciendo que estoy convaleciente de s├¡ ingresado de la escuela, del del hospital
ya se lo voy a verificar y se lo voy a enviar a ver esp├®rese un rato no me est├ín al financiera o necesito pasar por ello a	1	39425	Ya, se lo voy a verificar y se lo voy a enviar. A ver, esp├®rese un rato. No me est├ín al financiera o Necesito pasar por ello. A
s├¡ se├▒ora in├®s se me cay├│ la llamada disculpe este me estaba comentando que cu├íl era su propuesta de pago	1	44483	S├¡, se├▒ora In├®s, se me cay├│ la llamada, disculpe. Este, me estaba comentando que cu├íl era su propuesta de pago.
usted me dice un un c├│digo o un n├║mero y yo lo pago	1	45253	usted me dice un un c├│digo o un n├║mero y yo lo pago.
cual no est├í logrando cancelar por falta de dinero se├▒orita	1	45733	cual no est├í logrando cancelar? Por falta de dinero, se├▒orita.
s├¡ pero estoy en una reuni├│n se├▒orita si si s├® de lo que me est├í llamando por eso me puede llamar m├ís m├ís ratito por favor de alg├║n par de minutos no se me han respondido	1	48168	S├¡, pero estoy en una reuni├│n, se├▒orita, si si s├® de lo que me est├í llamando. Por eso, ┬┐me puede llamar m├ís m├ís ratito, por favor, de alg├║n par de minutos no se
ese n├║mero s├¡ me ha llegado usted no es de este lupe	1	40080	ese n├║mero s├¡ me ha llegado, ┬┐usted no es de este Lupe?
ya un ratito ya esp├®reme	1	42210	Ya, un ratito. Ya, esp├®reme.
lorena sotero estamos llamando desde r abogados esto es representaci├│n de financiera o porque hay a su cuenta financiera o	1	50866	Lorena Sotero. Estamos llamando desde r Abogados, esto es representaci├│n de financiera o porque hay a su cuenta financiera o?
en ning├║n momento como dije todito los d├¡as estar├ín molestando no pueden ponerse a trabajar o que como dice yo tengo estoy trabajando y todito los d├¡as me molestan	1	44115	En ning├║n momento, como dije, todito los d├¡as estar├ín molestando, no pueden ponerse a trabajar o que, como dice, yo tengo, estoy trabajando y todito los d├¡as me
a ver d├®jame pero	1	50245	A ver, d├®jame, pero
ya hace como ya un cuentipito sino que tuve un tuve un accidente y me es un poquito bastante complicado conseguir trabajo	1	45678	Ya hace como ya un cuentipito, sino que tuve un tuve un accidente y me es un poquito bastante complicado conseguir trabajo.
perd├│n no te entend├¡ bien	1	49528	┬┐Perd├│n? No te entend├¡ bien.
tenga un producto con cualquier entidad financiera ya	1	41278	tenga un producto con cualquier entidad financiera, ya
a├║n as├¡ est├® bloqueada ya est├í disponible para realizar el pago correspondiente	1	38822	A├║n as├¡ est├® bloqueada, ya est├í disponible para realizar el pago correspondiente.
hacer nos saludaremos le daremos un bajito con agua y nada m├ís	1	43998	hacer? Nos saludaremos, le daremos un bajito con agua y nada m├ís.
y tiene la tarjeta	1	50215	┬┐Y tiene la tarjeta?
no no la conozco se├▒orita disculpe pero no la conozco	1	51191	No, no la conozco, se├▒orita, disculpe, pero no la conozco.
y con qu├® se sostiene se├▒or raymar si usted no tiene ah	1	43201	┬┐Y con qu├® se sostiene, se├▒or Raymar? Si usted no tiene Ah,
no era menos se├▒orita	1	48090	┬┐No era menos, se├▒orita?
el gusto	1	39999	el gusto?
este y bueno al margen de eso tambi├®n es de manera independiente no lo que pasa es que ha habido series de acciones que no me han ido bien en ese aspecto aj├í	1	43000	Este, y, bueno, al margen de eso tambi├®n es de manera independiente. ┬┐No? Lo que pasa es que ha habido series de acciones que no me han ido bien en ese aspecto.
claro mire voy a voy a tratar de alguna manera de poder ayudarle la de esta forma realizarlo	1	42102	Claro, mire, voy a voy a tratar de alguna manera de poder ayudarle la de esta forma Realizarlo,
no te preocupes env├¡ame todo lo que puedas no te	1	39828	no te preocupes, env├¡ame todo lo que puedas, no te
desde parte de qui├®n	1	39455	┬┐Desde parte de qui├®n?
mi esposo le acaba de fallecer	1	45583	Mi esposo le acaba de fallecer.
se├▒ora adri├ín en incafarma dir├® en incafarma en incafarma le piden la tarjeta f├¡sica para que pueda cancelar si es que en caso de la tarjeta f├¡sica puede cancelar el carro hay cajas de plaza vea o de os ah├¡ solo puede llevar su n├║mero de tarjeta y le reciben el pago pero en en mi	1	49568	Se├▒ora Adri├ín, en Incafarma, dir├®, en Incafarma, en Incafarma le piden la tarjeta f├¡sica para que pueda cancelar. Si es que en caso de la tarjeta f├¡sica puede c
ya hemos arreglado ya he arreglado con financiera la tarjeta oh ro	1	41305	Ya hemos arreglado, ya he arreglado con Financiera la Tarjeta OH!ro.
pero tambi├®n quiere salir salir de las de las centrales de 100	1	41531	Pero tambi├®n quiere salir salir de las de las centrales de 100.
ya un favor s├¡ porque ya tengo miedo ya	1	49821	Ya, un favor. S├¡, porque ya tengo miedo ya.
el tema personal y se├▒orita	1	51302	El tema personal y se├▒orita.
ya vu├®lveme a llamar en en una hora se├▒or	1	45540	Ya, vu├®lveme a llamar en en una hora Se├▒or
ya usted usted de casualidad tiene los 850 que le hab├¡an dicho en ese momento a la mano	1	39957	Ya. ┬┐Usted usted de casualidad tiene los 850 que le hab├¡an dicho en ese momento a la mano?
se├▒or sabas sabas aquino baz├ín	1	39244	Se├▒or Sabas, Sabas Aquino Baz├ín.
s├¡ le	1	41717	S├¡. Le
ya le pagu├® ya a qu├® a ese n├║mero le voy a mandar	1	50674	Ya le pagu├® ya. ┬┐A qu├® a ese n├║mero le voy a mandar?
de financiera o	1	44949	┬┐De Financiera o?
ya no hemos algo s├¡ s├¡ ya le estoy escuchando le estoy escuchando	1	45479	Ya, no hemos, algo. S├¡, s├¡, ya le estoy escuchando, le estoy escuchando.
ver solamente un porcentaje	1	49597	ver, solamente un porcentaje
no se preocupe usted se comunic├│ con la se├▒orita lorena usted se comunic├│ con la se├▒orita lorena sotelo yo estoy verificando ac├í	1	41320	No se preocupe, usted se comunic├│ con la se├▒orita Lorena, usted se comunic├│ con la se├▒orita Lorena Sotelo. Yo estoy verificando ac├í.
o alg├║n n├║mero tal vez	1	38760	┬┐O alg├║n n├║mero tal vez?
y todo tiene que ser un solo un solo pago	1	50268	┬┐Y todo tiene que ser un solo un solo pago?
atr├ís ya se voy	1	44512	atr├ís. Ya se, voy
usted tiene todos sus documentos estimada de que le hayan operado de la burla	1	51096	┬┐Usted tiene todos sus documentos, estimada, de que le hayan operado de la burla?
ok ok en todo caso estimada no se est├í	1	50493	Ok. Ok. En todo caso, estimada, no se est├í
construcci├│n nos seguiremos comunicando con usted	1	45442	construcci├│n. Nos seguiremos comunicando con usted.
de pago menor a su deuda	1	48043	De pago menor. A su deuda.
para poder realizar un pago tiene que llegar a una conciliaci├│n para poder habilitar en el sistema si ustedes acercan a	1	39926	Para poder realizar un pago tiene que llegar a una conciliaci├│n para poder habilitar en el sistema. Si ustedes acercan a
claro por eso justamente le estoy mencionando cu├íl es su propuesta para poder nosotros evaluarlo	1	43017	Claro, por eso justamente le estoy mencionando cu├íl es su propuesta para poder nosotros evaluarlo.
por el por la situaci├│n de ahora se├▒orita	1	45274	Por el Por la situaci├│n de ahora, se├▒orita.
s├¡ domingo s├¡ pues domingo ya	1	45374	S├¡, domingo, s├¡, pues, domingo, ya.
le estamos llamando del estudio c r abogados en referencia a su caso con financiera o se├▒or alan	1	49655	Le estamos llamando del estudio C r Abogados, en referencia a su caso con financiera O, se├▒or Alan.
que no estoy trabajando como antes y no no van a venir	1	41346	Que no estoy trabajando como antes y No, no van a venir
por ello le hab├¡a consultado si iba usted a poder realizar	1	42171	Por ello le hab├¡a consultado si iba usted a poder realizar
previa aprobaci├│n de la financiera	1	43444	previa aprobaci├│n de la financiera?
